100111341 2 1 1 2 2 1 2 2 2 1 2 3 1 1 2 2 2 1 2 2 2 2 2 3 3 4 4 4 2 3 3 3 1 1 1 5 4 5 5 3 3 3 1 4 2 1 3 3 3 3 2 1 2 3 3 5 5 3 3 3 2 3 1 3 2 5 5 2 2 2 2 2 12000000000000000000000000000000000000000000000000000000000000000000000000017.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.30382293817.303822938 18.5837245717.927828408           018.02058140118.02058140117.92782840818.47109593618.020581401 18.5837245718.471095936 18.5837245718.47109593617.92782840818.36509251618.47109593617.92782840818.47109593618.36509251617.927828408
100123141 2 1 1 2 2 1 2 1 2 1 2 5 1 1 2 1 1 1 2 2 3 5 3 4 3 2 4 4 2 4 4 3 4 3 1 3 3 4 3 3 3 2 1 2 1 1 2 2 2 2 2 1 2 5 5 5 3 5 3 4 3 5 1 5 5 5 5 5 4 4 3 5 1200000000000000000000000000000000000000000000000000000000000000000000000001.53006267141.69089716611.68918918921.68918918921.68918918921.68918918921.65165165171.69089716611.69089716611.6524676851           01.69089716611.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.53006267141.5300626714
100131431 1 2 1 2 2 1 2 2 1 1 2 3 1 1 2 1 2 1 2 2 2 1 1 1 1 1 1 1 3 3 3 1 1 1 1 1 1 1 2 1 2 2 1 1 1 1 1 1 1 1 1 1 2 5 3 1 2 1 2 2 2 2 1 5 2 2 2 2 2 2 2 2 120000000000000000000000000000000000000000000000000000000000000000000000000 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.57333553 16.5733355317.52405679617.37617446417.23076715117.50163420517.52405679617.52405679617.35517701917.52405679616.947133131           0 17.67447788 17.6744778817.52405679617.355177019 17.6744778817.524056796 17.6744778817.49056430117.650584279
100143211 1 2 2 2 2 1 2 2 1 2 2 4 1 1 2 1 1 1 2 1 3 2 3 2 1 2 4 4 2 3 3 2 3 1 1 4 4 4 4 4 2 5 1 5 5 5 5 5 2 3 2 1 2 3 4 2 5 2 2 2 2 5 1 4 4 2 5 4 4 2 2 4 1100000000000000000000000000000000000000000000000000000000000000000000000002.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.90508694953.05798626263.01827215532.8925108155           03.03713635622.89251081553.03713635623.01827215533.01827215533.03713635623.03713635623.03713635622.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.77026727542.7702672754
100153141 2 1 2 2 2 1 2 2 2 2 2 5 1 1 1 2 1 1 2 1 4 3 5 4 4 4 4 4 2 3 4 3 3 3 1 3 3 3 2 1 3 2 1 2 4 1 1 3 3 2 1 1 2 2 2 2 2 5 4 2 3 3 1 2 2 2 2 5 3 3 3 3 1200000000000000000000000000000000000000000000000000000000000000000000000004.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591965.13400626525.13400626525.13400626525.13400626525.13400626525.13400626525.0469892099           05.14594978265.14594978265.14594978265.14594978265.14594978265.14594978265.03713822255.14594978265.05722651055.15837104075.15837104075.05722651055.15837104075.04698920995.14594978265.14594978265.04698920995.13400626525.14594978265.14594978265.13400626525.13400626525.13400626525.13400626525.13400626525.03713822255.13400626524.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.97615591964.9761559196
100163131 2 1 1 2 2 1 2 2 2 1 2 5 2 1 1 1 1 1 2 2 2 3 4 3 3 2 3 3 2 3 3 2 2 2 1 3 3 2 2 2 2 3 1 3 3 3 1 1 2 2 2 1 2 4 4 4 4 2 2 2 2 2 1 4 3 3 3 3 2 2 2 2 1200000000000000000000000000000000000000000000000000000000000000000000000005.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.50185109015.5018510901           05.44003253855.50185109015.44003253855.49087396415.42986425345.42986425345.42986425345.37019541545.42986425345.37019541545.49087396415.49087396415.49087396415.48014077435.48014077435.48014077435.48014077435.41991944715.48014077435.42986425345.49087396415.49087396415.49087396415.42986425345.42986425345.49087396415.44003253855.37958773255.44003253855.50185109015.50185109015.44003253855.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.3033922599
100172212-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8-8100000000000000000000000000000000000000000000000000000000000000000000000008.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585499.1316468012           08.90031174899.13164680129.13164680129.13164680129.13164680128.92410937399.13164680129.13164680128.92410937399.10259156148.90031174898.90031174899.10259156148.90031174899.10259156148.90031174899.10259156149.10259156149.10259156149.10259156148.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.63698585498.6369858549
100183231 1 1 1 2 2 1 2 2 1 1 2 4 1 1 1 1 1 1 1 2 4 2 2 2 2 2 3 4 3 3 4 2 2 4 1 5 5 4 2 2 2 2 1 3 1 1 1 2 2 2 2 1 2 5 5 5 4 2 2 2 2 2 1 5 5 5 4 2 2 2 2 2 1200000000000000000000000000000000000000000000000000000000000000000000000005.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.50185109015.50185109015.50185109015.44003253855.50185109015.44003253855.49087396415.42986425345.42986425345.42986425345.37019541545.42986425345.37019541545.49087396415.49087396415.49087396415.48014077435.48014077435.48014077435.48014077435.41991944715.48014077435.42986425345.49087396415.49087396415.49087396415.42986425345.42986425345.49087396415.44003253855.37958773255.44003253855.5018510901           05.44003253855.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.30339225995.3033922599
100193421 2 1 1 2 2 1 2 2 2 1 2 4 1 1 2 1 1 1 1 2 1 5 4 3 2 1 1 3 2 1 3 1 2 1 1 3 3 2 3 2 1 1 1 1 1 2 1 2 1 1 1 1 2 4 4 4 3 3 3 2 3 1 1 4 4 4 4 4 3 3 3 1 1200000000000000000000000000000000000000000000000000000000000000000000000004.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.98504486544.98504486544.99297862384.9083518675           04.99297862384.99297862384.99297862384.99297862384.90835186754.99297862384.90835186754.90835186754.90835186754.99297862384.99297862384.99297862384.99297862384.99297862384.90835186754.99297862384.99297862384.99297862384.99297862384.99297862384.99297862384.99297862384.99297862384.99297862384.99297862384.99297862384.99297862384.99297862384.98504486544.98504486544.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.83516483524.8351648352
100201341 2 1 2 2 2 1 2 2 2 2 2 4 2 2 2 2 1 1 2 2 2 2 4 2 3 3 4 4 3 3 3 3 1 3 1 4 3 3 3 4 5 2 1 4 2 1 1 1 3 1 1 1 2 4 4 4 4 4 3 2 3 3 1 4 4 4 4 4 3 2 3 3 1200000000000000000000000000000000000000000000000000000000000000000000000008.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.44037260418.44037260418.44037260418.44037260418.36222100598.44037260418.36222100598.44037260418.44037260418.44037260418.36222100598.43493597128.4349359712           08.43493597128.43493597128.35755123758.35755123758.43493597128.35755123758.35755123758.35755123758.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.02695997138.0269599713
